"number","year","catch","effort"
"35",1995,159592,830
"32",1992,33770,110
"15",1975,164543,791
"22",1982,156148,786
"8",1968,181402,1239
"24",1984,181825,1283
"27",1987,148252,675
"54",2014,169482,875
"58",2018,78851,298
"28",1988,176886,1126
"23",1983,178973,1204
"16",1976,63607,241
"17",1977,180763,1335
"12",1972,179524,1372
"4",1964,95114,379
"21",1981,177171,1212
"29",1989,176458,1079
"55",2015,38062,139
"44",2004,176663,1390
"7",1967,185198,1162
"50",2010,142108,637
"51",2011,152725,782
"19",1979,180516,1109
"39",1999,156231,779
"53",2013,181314,1249
"47",2007,151678,759
"37",1997,179848,1029
"3",1963,180829,1383
"41",2001,161783,827
"2",1962,179136,1059
"14",1974,108775,458
"10",1970,156193,728
"20",1980,175410,948
"46",2006,183207,1094
"13",1973,178669,1363
"6",1966,129723,592
"38",1998,106739,424
"40",2000,58878,217
"43",2003,64613,255
"5",1965,184447,1275
"59",2019,177430,1307
"48",2008,126914,568
"45",2005,157803,807
"31",1991,146526,671
"30",1990,77660,273
"1",1961,26977,118
"36",1996,179220,1379
"9",1969,167395,892
"60",2020,182419,1255
"52",2012,181103,1074
"26",1986,177950,1101
"42",2002,181410,1354
"18",1978,30218,114
"56",2016,181444,1056
"57",2017,178046,1375
"49",2009,171957,914
"33",1993,152449,730
"11",1971,174458,1013
"25",1985,110302,461
"34",1994,149418,750
